"","TruePara","HT","GREG","Ridge","Ridge_MC","Lasso","Lasso_MC","Lasso_Ridge","SCAD","SCAD_MC","SCAD_Ridge","Oracle"
"62",235659.115320397,237896.035162592,235842.883055136,237128.494425708,236955.708883773,236107.504202793,235750.392690805,237697.232411782,235661.923082212,235653.946636634,237645.484885396,235794.192109042
"63",234337.991182911,233395.113997363,234438.860428199,234400.547054202,234593.18641931,234134.121184906,234278.902560556,233461.609014021,234454.305187915,234456.290616408,233494.532547823,234417.079329618
"64",235117.00942694,234683.306992088,234964.574247812,234255.175137069,234155.932716806,234904.012017624,234949.216492645,234702.638753527,235119.972891877,235120.493547125,234724.699153012,234958.223484193
"65",234930.879414465,234762.422352681,235149.268209325,234941.466576369,234980.703646358,234953.647015835,234988.972088636,234775.781385707,235221.070203861,235222.568321889,234802.872541757,235092.444885668
"66",235348.633734634,234748.704081338,235428.938865188,235098.411018263,235189.459084979,235255.210539387,235342.670115821,234796.536518319,235320.670821684,235320.975085423,234803.245689269,235370.694234161
"67",235028.670291183,234530.388562303,235072.147538412,234544.41744562,234548.137251607,234915.395070263,234991.267807738,234565.31813673,234796.588281709,234797.312057712,234552.169607264,235067.774217148
"68",234446.234498203,233047.34141196,234500.549552534,234351.914773799,234756.401299841,234092.098921143,234295.064188952,233150.573080503,234482.268063518,234484.808907059,233191.841896423,234399.402663581
"69",234593.981762184,235948.595004063,234722.748094148,234902.657622831,234678.696966372,234817.949732517,234581.678840578,235819.909295905,234659.999532051,234657.703121362,235800.09351506,234649.961521986
"70",234889.040903493,236476.571757336,234674.268905234,235620.420475012,235440.151555798,234959.305989185,234679.041911178,236310.014006943,234768.334447561,234767.96294298,236286.80069113,234716.875491111
"71",234816.375639625,234604.16281274,234956.023181189,235302.801387356,235453.455332346,234789.240634785,234824.526339893,234618.849611706,234810.46490686,234811.642057062,234621.352131963,234889.026213273
"72",234831.838132706,233574.022191652,235100.228690232,235416.770647604,235903.063330808,234808.018055177,235054.055768021,233698.101935607,235011.802553994,235015.957650292,233720.197047336,235050.763741684
"73",234640.742406889,233054.887883413,234698.028708957,233577.140283014,233692.795181573,234363.148357128,234618.632610984,233185.882762274,234800.359845069,234805.286109975,233232.205243419,234550.392779636
"74",234532.640608708,234513.099871963,234503.535950965,234235.897468124,234167.983388772,234537.991971079,234542.967016673,234513.582402382,234494.335623872,234494.251493062,234508.578376243,234509.411427625
"75",235215.384177229,235072.873718986,235205.40529322,235419.562653141,235510.371402032,235070.268845348,235069.777659163,235064.026540524,234788.521791201,234787.702705791,235033.452704921,235077.731349094
"76",235074.28283574,233751.233237749,234932.795234421,234500.588625812,234677.45976298,234751.193821693,234955.797053433,233850.292477664,235078.080213033,235080.924676223,233884.874475387,234918.745241523
"77",234370.971093537,233665.906414441,234109.219777126,234429.208581802,234638.933744611,234003.440275494,234065.783231272,233692.898586136,234106.511979884,234107.399358033,233702.57746775,234093.453789095
"78",235182.031774101,237302.047309713,235481.722272387,236099.861577317,235852.72811185,235740.518291621,235418.361922477,237130.750910965,235323.826418121,235317.524881551,237083.48626762,235384.600809608
"79",234644.596470464,235202.895194501,234792.916472331,235188.943594224,235185.505784998,234915.536668524,234864.097876186,235165.713876196,235135.283308113,235135.211266296,235187.679874924,234763.176819646
"80",234592.145266811,233960.53750503,234215.387420429,234573.62661469,234693.385821957,234025.182905877,234038.554523626,233960.36762381,233912.805974815,233912.794196339,233946.37824376,234117.569412712
