"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge","Oracle"
"372",235322.167254438,239643.690732916,235913.060196804,239392.372219555,235256.367761702,235651.164819002,239336.537105736,235107.524524342,235650.401932818,235290.657512044,235646.613884246,233893.440460967
"373",234547.509273698,235253.226358614,236380.175625532,237619.082672162,235272.348179893,235322.288236889,238177.055477772,235273.072464031,235322.288012222,234939.452213053,235322.159740007,235483.966868274
"374",234840.894007528,235465.27496767,235314.569914927,235467.63076977,236284.887871156,236974.575729497,235468.141836441,236333.974038457,236975.727525636,235541.547167248,236890.822733506,235486.167204396
"375",234693.520769315,230367.527614899,235727.585215747,234756.644281615,235381.296003733,235738.629219445,235831.459904636,235558.966791973,235737.517867889,234156.419555091,235725.27386153,235086.603497597
"376",235372.549207561,230551.130256813,235677.869703546,234381.326472589,235002.660348478,235807.247247598,235656.858913482,235173.642724378,235805.790265978,233751.995843436,235806.554749494,235082.518872422
"377",234521.562988335,234326.804135996,235793.920065819,234955.154152275,234445.095477719,234578.777552983,235116.941186256,234450.876357121,234581.542947339,233889.912908857,234510.916255265,234089.130515349
"378",234953.486275488,231984.606160257,235701.468612549,233389.325998847,235635.733201875,235699.926399618,233640.28909015,235649.376608179,235699.421951603,235101.108922802,235696.594480082,235357.589983657
"379",234811.449102079,231663.643973239,235482.040248126,232230.043950253,233940.250008342,235100.259507275,232420.759232473,234041.532238802,235099.950087762,232963.077810672,235096.838926005,234642.382405875
"380",235449.915814886,227844.874012478,236282.711391144,233031.198087749,236568.433240984,237070.232797396,234379.384182229,236828.654184349,237070.103318418,234771.366210112,237068.606952087,236761.11025822
"381",235106.203849631,233101.498049197,234808.81308948,233541.289926417,234292.737740302,234770.44026422,233637.791693582,234369.755945968,234770.440781766,233674.038743387,234770.360132006,234171.860606138
"382",234409.359480873,241174.353322436,235764.318142336,238039.975615688,235589.565029268,235431.199227446,237583.883399429,235386.869876431,235431.518702135,236137.095572773,235388.264098437,235161.629238846
