"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge","Oracle"
"552",234840.750429347,229439.912041831,237330.344483392,229950.897478616,236049.821539702,237074.954414702,230120.556599107,236172.212497067,237073.468292548,236048.205981084,236516.468499351,234604.919975038
"553",235239.28562889,243729.592666516,236482.981877264,241244.996479611,236612.20604695,236431.98903324,240935.072314011,236451.475773053,236429.825514308,236612.818010793,236333.713100815,236324.673221702
"554",234452.929498306,234389.230659086,237043.303244576,234813.155661782,236676.105993311,236916.572717286,234940.420749332,236717.293285166,236916.155521703,236678.888820355,236924.630517869,236074.172963732
"555",234815.256065856,233456.638755159,234384.482036875,234680.450753389,234209.455828301,234242.972436927,235026.338200347,234225.367147854,234243.165513391,234209.491370571,234163.306646865,234251.541489115
"556",235853.271008566,231324.198445302,238174.401606933,235666.793746254,237726.147279695,237956.399057075,236719.824670887,237845.208246287,237955.631187863,237725.655594981,237973.183543558,237475.130752072
"557",234851.991677469,236099.123554071,238218.682796603,236047.335558133,237656.276855267,238138.133715155,236038.344167916,237691.180425155,238138.125996147,237656.628976932,237909.423114618,237189.74108923
"558",235494.067659988,240751.135640146,236354.111154655,238914.147048324,236099.295731775,236250.817854506,238545.797903657,236011.622157403,236253.132595933,236104.342206825,236172.345784189,235866.615045665
"559",234977.518190819,241209.674086067,234619.736901043,236779.918767347,234647.262172629,234684.993370526,235679.774734821,234537.639480307,234684.505616877,234647.615014418,234673.140861166,235576.930116603
"560",235457.230943068,236914.797126015,238741.500915596,236559.925895582,237657.762594003,238168.527929566,236484.509257373,237675.598016678,238155.428535245,237658.829560075,237952.671463105,237340.05975611
"561",234320.432177162,234967.692943749,234907.564748217,235346.294126255,235141.157901492,235081.354819709,235407.916644587,235144.77557248,235081.377159927,235140.586996052,235186.420604882,234917.241221788
"562",234493.990980371,235721.019409437,235690.630081675,234964.148171105,235590.445491031,235925.624006737,234733.16821905,235588.119351137,235925.561508832,235591.866248537,235830.032409925,235351.850725388
"563",235284.174853668,235574.661312649,237562.736500169,236243.879201349,237094.260394293,237605.055010153,236373.963044549,237127.830341238,237605.450889591,237095.435570656,237336.275181363,235835.41292587
"564",234643.683322584,235929.51690927,235688.574227378,237313.62892102,235789.771163562,235661.700863805,237581.884772245,235787.234804048,235661.665331559,235789.2338478,235737.834344569,235322.560522195
"565",235007.587820611,235026.133398494,235024.453840852,233591.394901242,234741.457300508,234933.030550705,233313.736476334,234735.682626458,234932.996150381,234741.399933815,234928.456930456,234756.081586028
"566",235098.32592587,236394.448036514,235462.198947483,235102.445157309,235535.079702511,235564.413396085,234720.646796736,235521.621099489,235564.486724993,235535.419144122,235543.922232948,235759.915387424
"567",234570.141456365,232108.202368457,234096.047520113,232209.973733668,234120.055995016,234186.326009902,232229.758489052,234156.655224899,234186.453596115,234121.560648609,234161.798467386,234301.476438553
"568",235733.392788399,235351.624985579,237835.625238176,235476.143996079,237085.210847845,237947.251237792,235500.798883289,237122.820055691,237947.231974781,237085.029937174,237447.125960544,236521.184380863
"569",234969.968220169,241342.895106787,237354.446746018,240667.314927305,237749.525750691,237416.878452324,240481.507507048,237686.168048316,237416.476225017,237752.55517042,237641.810382018,237291.366587871
"570",234692.100616016,228068.957994302,235914.638428324,234740.544525432,235634.047707596,235975.618312527,236725.829079131,235793.530517537,235977.186150112,235635.145965059,235761.735795816,235477.007026615
"571",235163.388188651,239703.218159118,237716.207476496,240990.324440997,237716.844735263,237689.875740565,241336.974039753,237686.620030088,237690.53670864,237715.153687349,237738.315309771,237205.615157085
"572",235237.748264729,239520.668472725,237102.107340366,234725.590122367,236691.971067102,237088.838207081,233721.819938537,236633.041637674,237089.28037878,236696.999452929,236996.114907947,236569.368122507
"573",235352.452499765,231184.433470928,233941.290077952,236004.805826181,234548.545450207,234037.116269022,236769.77298728,234608.833930047,234037.03183155,234547.567504711,234406.192922652,235270.050919924
"574",234530.846401237,232993.036043513,235495.027993078,233875.494918972,234980.067766867,235358.075809975,234136.821285729,235022.521349677,235358.036085336,234981.115178858,235092.551546442,234269.922130154
