"","TruePara","HT","GREG","Ridge","Ridge_MC","Lasso","Lasso_MC","Lasso_Ridge","SCAD","SCAD_MC","SCAD_Ridge","Oracle"
"14",234744.298542774,235407.090542945,233967.057525901,234077.652909058,234032.562455889,233963.650655501,233961.940677725,233965.291364008,233968.082621313,233968.96002578,233967.055722388,233951.892391277
"15",236002.9133473,234694.415616589,235843.529054365,235783.990771208,235801.595716557,235843.030609667,235843.343616943,235842.131500195,235844.304002837,235844.144435469,235843.297959881,235646.398368547
"16",234608.187168656,232516.905641064,234665.682436103,234510.989049911,234514.512869092,234665.847343811,234665.524477601,234662.800254001,234668.784490249,234667.663956125,234666.167298779,234586.008087078
"17",234825.220061284,236826.158187107,234114.395861119,234043.255683073,234005.250354278,234104.579253294,234103.619846266,234105.762912851,234113.139410334,234113.139960766,234114.569777683,233760.138986773
"18",234821.317983363,233406.074797913,232836.753028889,232952.017642858,232943.277091243,232841.252701579,232841.080984079,232840.347996576,232837.631427841,232837.630841165,232836.912612244,233055.897420853
"19",235354.305112011,233040.929104013,235762.054625856,235622.661051852,235666.545009518,235756.720132208,235757.656317048,235756.74371703,235762.060949562,235761.826365821,235761.051113291,235603.07501129
"20",234827.06251497,233468.640341826,234194.707794745,234034.281615465,234040.603334316,234191.221350271,234191.573777327,234191.379327516,234193.8028884,234193.642075948,234194.660025664,233991.886854303
"21",234986.022184006,235914.577836196,235424.971220765,235468.253481255,235464.249803035,235428.344338394,235428.272028701,235427.319184297,235425.577042509,235425.695017891,235424.963929336,235622.681162579
"22",234663.15980853,240297.114085317,234476.810464476,234586.732741467,234509.243121554,234482.991797429,234481.192406376,234484.83465806,234474.823333612,234475.688550817,234476.808177114,234965.542114135
"23",235371.53001947,236769.637018766,235958.633125563,236035.60844981,236034.346052799,235954.845389996,235954.680281532,235954.421626368,235959.067866369,235959.234908015,235958.765253629,235806.837374491
"24",234981.143373924,235206.111247495,235926.491822105,235981.791170653,235991.736720804,235926.738639694,235927.166420221,235926.861588346,235926.358421718,235926.484176806,235927.001906827,236099.854670839
"25",235565.358257136,233665.480618391,235378.748696334,235533.201424012,235544.364352757,235384.941720424,235385.879523589,235385.785064361,235377.878760916,235378.139866077,235378.835614119,235896.88517815
"26",235412.084267168,228966.284479433,234991.814619749,234828.823990563,234932.46995296,234980.683628141,234985.003099374,234980.879154262,234991.517354045,234993.032292274,234991.749018008,234470.595782379
"27",235104.294349191,236034.743069061,235275.877641317,235287.907121088,235276.840834309,235274.780554523,235274.17764565,235272.843184994,235277.488340968,235277.152662278,235275.378261932,235414.946394824
"28",234466.56308478,236443.325442808,234355.780013605,234336.762141976,234303.791035813,234353.825812169,234352.772282454,234353.560527879,234356.097391041,234355.908868231,234355.781161802,234310.321587046
"29",235374.852516683,234713.853422883,235581.110773689,235683.793308123,235685.654251226,235576.47358148,235576.946878672,235577.950614975,235579.561606311,235579.619754977,235581.906492952,235275.894312629
"30",234764.597919147,236567.298915136,235106.646285164,235084.922727953,235081.13917507,235109.330247168,235108.83367939,235106.578970936,235109.405026475,235109.480814475,235107.707789647,234719.52081374
"31",235200.911986005,238530.21200621,235183.880110757,235174.214067262,235127.59888737,235182.960158706,235181.938130263,235183.905069522,235183.250138466,235183.466061998,235184.449829697,235143.476339196
"32",235149.948036871,232989.350546558,236107.281571356,236212.167190555,236211.661055702,236105.158277416,236105.365989226,236103.563440766,236108.948308098,236107.97037587,236107.722616871,235944.566269749
"33",234558.311882949,234868.647958985,234070.721151982,233966.11237227,233951.806270838,234070.304487935,234069.738733104,234068.350761624,234072.762434135,234072.561004148,234070.70831131,234047.138882386
"34",234798.629330307,232106.594524428,233801.373931032,233732.815305023,233786.513869356,233798.16092044,233800.052370972,233798.242506651,233801.278164364,233801.0487407,233801.878673598,233619.937457798
"35",235712.791590665,237321.057766316,236227.805214088,236303.711179391,236281.313204918,236229.345945431,236229.064884719,236230.646689471,236227.30636056,236227.885534421,236227.803478596,236269.642069054
"36",234792.37866629,229321.252470798,233934.715127885,233833.143441415,233857.31127346,233928.718680456,233930.124919573,233929.339392879,233934.123686165,233933.515328718,233935.534575291,233896.123829829
"37",234807.199112766,231615.63418519,234687.5180664,234749.089010804,234771.953269933,234682.181441312,234685.078839712,234685.140083395,234684.413908668,234686.118267101,234687.515715951,234869.48463921
"38",235066.459819676,235447.380595035,235567.816461993,235716.957928998,235721.017756556,235575.338702745,235575.386089259,235574.909391526,235568.20496871,235568.195565145,235567.894938297,236059.561327496
"39",235564.522250635,232334.93242217,235489.684262019,235406.852971641,235426.523312036,235493.038815842,235492.589432092,235488.815615982,235495.594085634,235494.020594323,235491.569751272,235152.184730851
"40",234842.93479943,232258.03144488,233237.712811332,233307.272910659,233316.667226932,233239.833168353,233240.381736877,233239.734030936,233237.872280895,233238.007352767,233237.872232887,233542.172906575
"41",235137.205035281,236129.451362867,234668.332654949,234457.728671915,234458.712282541,234664.129804038,234663.766645434,234664.015744913,234668.384019495,234668.535329643,234668.478584547,234615.483742143
"42",234680.467905931,237947.140101998,234646.759628042,234760.098819242,234738.764288529,234652.615133506,234651.400482869,234653.158804319,234646.228172594,234646.469574424,234646.731242745,235018.312207686
"43",234780.242420583,233034.037638836,235560.587192337,235357.729448042,235408.256318638,235547.273740578,235548.403478141,235548.125638531,235560.091670748,235559.895032982,235560.587609463,234835.472817734
"44",235541.214128371,240504.405254385,235947.785418179,236031.539491831,235989.238961422,235951.746725293,235950.119220523,235950.544471935,235949.02184354,235949.091194881,235947.593975088,236253.338358976
"45",235440.387946533,242345.103424928,236440.872485051,236458.71501531,236373.592842793,236446.68901741,236442.04480599,236440.25515935,236447.023260678,236444.534673696,236441.320832154,236201.943015413
"46",235652.494340583,233452.651323699,235556.8781901,235573.817179078,235609.845411171,235553.900010395,235555.199234773,235554.857369739,235555.804414267,235556.267437002,235557.276445769,235364.507479273
"47",234458.167890415,237238.825767696,234569.668373119,234714.364783119,234688.504960577,234570.475781455,234568.515728299,234573.630884972,234567.463892728,234565.672723244,234569.424476802,234929.129969344
"48",234322.597408292,239773.785684544,235474.172704645,235585.105451422,235511.397777144,235481.902853785,235480.69436499,235481.881936405,235474.170214168,235474.771486069,235474.909585911,235760.8772596
"49",234873.912926133,232970.94435767,234808.170436578,234774.836183578,234818.916651044,234801.736495655,234804.422557839,234801.787187668,234807.68323866,234808.101699418,234808.803305424,234621.003091757
"50",235194.148015581,232485.102515205,235726.673788875,235740.543575019,235779.883620752,235726.136529705,235728.022992845,235726.635791078,235726.171659019,235726.769920353,235727.112463936,235653.750510692
"51",235417.796984611,232335.829432053,234886.552187822,234878.816354765,234929.23629856,234892.935175842,234894.007853575,234893.03668898,234887.983044443,234886.263708846,234886.486010117,235564.965480457
"52",235779.026148136,236510.387877262,235279.617818201,235263.260386441,235245.718443696,235275.099241643,235274.342421508,235274.250188947,235280.485875171,235280.234131649,235279.300383365,234669.875394258
"53",234914.630988938,229729.12130284,234309.356762758,234262.266769573,234350.091270798,234309.412291427,234311.295936683,234310.257138353,234308.530363034,234308.633145592,234309.788478133,234785.407862016
"54",235436.422666186,236033.411164861,235787.846553016,235759.816833532,235756.088086497,235784.006262759,235784.16304565,235786.174375253,235785.910378263,235786.157634189,235787.374722731,235952.198406273
"55",235521.693193662,235842.714782501,236042.866621243,235988.188081809,235990.934095387,236038.592394141,236038.682090555,236037.605135584,236043.765944224,236043.777142859,236042.867004181,236130.390297348
"56",234744.380265677,232706.513259806,235038.08369619,234846.670595806,234891.836689551,235029.790277059,235031.360283973,235030.916762507,235037.006914398,235037.510181189,235038.884582438,234826.499949442
"57",234791.04690177,234647.792437587,234767.234776638,234735.415880701,234736.981696116,234763.492759588,234763.552961477,234762.059053854,234768.573351895,234768.582434552,234766.874189887,234853.967044575
"58",233935.851952692,230139.99116738,233458.276063113,233479.533926624,233522.041087566,233457.234003704,233458.415300667,233458.029769936,233457.430442755,233457.521878624,233457.940538717,233576.090763068
"59",234948.645415299,236010.146797651,235270.146562174,235148.563910543,235140.920010321,235261.682917039,235261.532099524,235265.215996208,235266.516576681,235266.654953982,235269.267014021,235125.283337009
"60",234774.860514617,232100.496750526,235191.5418974,235136.586052373,235183.418846558,235184.515036623,235185.465565837,235184.075733459,235192.075276537,235192.164895753,235191.767044716,234894.129052634
"61",233925.187429099,230500.850519977,234416.239280308,234430.267386403,234464.350981547,234421.953958676,234424.211400681,234422.62825747,234415.573666445,234416.158019659,234417.083735309,234837.700534276
"62",235659.115320397,232697.675479871,235691.469564022,235634.868280527,235658.636504878,235690.843124089,235692.303625156,235691.31802534,235691.212807528,235691.52300922,235692.064647657,235891.376122873
"63",234337.991182911,236238.774720632,235044.269275269,235141.484179571,235119.403669598,235051.90594486,235051.626112693,235052.90711995,235043.125926564,235043.294736215,235044.737977468,235374.193313833
"64",235117.00942694,234980.657815199,235171.946264283,235058.579497475,235058.336715286,235175.821210654,235175.921226137,235176.467955316,235171.305636672,235171.317280003,235172.118434172,235286.892016832
"65",234930.879414465,230102.064435944,234444.931618339,234327.660970578,234436.218389274,234430.434898571,234436.306524167,234431.210672554,234443.718070882,234444.504718782,234445.26218985,234313.636446358
"66",235348.633734634,234232.215363324,235008.843315142,235003.034912585,235007.922295407,235009.207970627,235009.556604624,235008.318200926,235009.74682076,235009.802603227,235009.715858281,235155.684709482
"67",235028.670291183,234882.048960563,235140.211420952,235207.198608632,235212.24370241,235137.580026379,235137.676418504,235138.033868936,235139.722116608,235139.738010055,235140.212513563,234937.775800177
"68",234446.234498203,236634.148300828,234270.352566557,234430.534443061,234367.201225027,234268.796516848,234266.825456764,234267.773956508,234271.37385065,234271.718944603,234269.586121263,234035.289550514
"69",234593.981762184,232500.972105108,235302.714513728,235131.022324629,235166.560938399,235302.724221614,235304.300643187,235300.802522534,235304.682559894,235305.021538119,235302.714147649,235367.477256694
"70",234889.040903493,231340.469329085,234449.010667759,234418.426350755,234430.623185065,234441.25126595,234443.104917131,234441.70926141,234448.570952144,234449.106916528,234447.983855452,234146.613177785
"71",234816.375639625,235720.544733986,234290.600640992,234281.965636557,234264.036484339,234288.290376253,234287.755547843,234288.932186796,234289.914114662,234290.005357498,234291.652567849,233898.516230057
"72",234831.838132706,232020.930088375,233285.426210563,233215.446568485,233216.74840877,233282.724146671,233283.193393862,233283.473248729,233283.065130869,233283.016174066,233284.060715053,233258.372808661
"73",234640.742406889,234223.1560409,235187.12000392,235304.794034188,235321.351824207,235187.19665433,235187.829353126,235188.064031836,235186.286052799,235186.596557958,235187.121768706,235517.846481311
"74",234532.640608708,233446.308054745,234712.906227144,234667.561633102,234682.728037305,234712.612824549,234713.272082688,234713.204347272,234712.283895883,234712.454400821,234712.83155328,234794.93215206
"75",235215.384177229,235418.085462281,235069.850608891,235218.080902672,235217.065065505,235072.170417079,235072.10224957,235070.030919236,235072.187463414,235072.257401982,235069.891736695,235028.744487358
"76",235074.28283574,235603.181375885,235795.391311491,235668.219470535,235668.895039001,235795.297447828,235795.432116093,235794.848349393,235795.88699328,235795.930319226,235796.905116463,236019.834995642
